crosslink_id	type	effective_functionality	scanlan_classification
4	Tetra-S	3	effective
9	Tetra-S	4	effective
19	Tetra-S	0	ineffective
24	Tetra-S	2	bridging
29	Tetra-S	2	bridging
34	Tetra-S	2	bridging
39	Tetra-S	0	ineffective
44	Tetra-S	3	effective
49	Tetra-S	0	ineffective
59	Tetra-S	3	effective
64	Tetra-S	4	effective
69	Tetra-S	4	effective
74	Tetra-S	0	ineffective
79	Tetra-S	3	effective
84	Tetra-S	3	effective
89	Tetra-S	4	effective
94	Tetra-S	2	bridging
99	Tetra-S	0	ineffective
104	Tetra-S	3	effective
109	Tetra-S	3	effective
114	Tetra-S	3	effective
119	Tetra-S	2	bridging
124	Tetra-S	3	effective
129	Tetra-S	2	bridging
134	Tetra-S	3	effective
139	Tetra-S	4	effective
144	Tetra-S	2	bridging
149	Tetra-S	2	bridging
154	Tetra-S	2	bridging
164	Tetra-S	2	bridging
174	Tetra-S	3	effective
179	Tetra-S	3	effective
184	Tetra-S	3	effective
189	Tetra-S	2	bridging
194	Tetra-S	2	bridging
199	Tetra-S	3	effective
204	Tetra-S	2	bridging
214	Tetra-S	3	effective
219	Tetra-S	0	ineffective
224	Tetra-S	4	effective
229	Tetra-S	3	effective
234	Tetra-S	2	bridging
239	Tetra-S	2	bridging
244	Tetra-S	2	bridging
249	Tetra-S	0	ineffective
254	Tetra-S	3	effective
259	Tetra-S	3	effective
264	Tetra-S	0	ineffective
269	Tetra-S	3	effective
274	Tetra-S	4	effective
279	Tetra-S	0	ineffective
284	Tetra-S	2	bridging
289	Tetra-S	2	bridging
299	Tetra-S	2	bridging
304	Tetra-S	2	bridging
309	Tetra-S	2	bridging
314	Tetra-S	0	ineffective
319	Tetra-S	2	bridging
324	Tetra-S	0	ineffective
329	Tetra-S	3	effective
334	Tetra-S	0	ineffective
339	Tetra-S	3	effective
344	Tetra-S	0	ineffective
349	Tetra-S	2	bridging
354	Tetra-S	0	ineffective
359	Tetra-S	0	ineffective
364	Tetra-S	3	effective
369	Tetra-S	0	ineffective
374	Tetra-S	0	ineffective
379	Tetra-S	2	bridging
384	Tetra-S	4	effective
389	Tetra-S	2	bridging
394	Tetra-S	2	bridging
399	Tetra-S	0	ineffective
404	Tetra-S	0	ineffective
409	Tetra-S	0	ineffective
414	Tetra-S	3	effective
419	Tetra-S	2	bridging
434	Tetra-S	3	effective
439	Tetra-S	0	ineffective
444	Tetra-S	3	effective
449	Tetra-S	2	bridging
454	Tetra-S	2	bridging
459	Tetra-S	0	ineffective
464	Tetra-S	0	ineffective
469	Tetra-S	2	bridging
474	Tetra-S	3	effective
479	Tetra-S	2	bridging
484	Tetra-S	2	bridging
489	Tetra-S	2	bridging
494	Tetra-S	3	effective
499	Tetra-S	3	effective
504	Tetra-S	0	ineffective
509	Tetra-S	3	effective
514	Tetra-S	3	effective
519	Tetra-S	3	effective
524	Tetra-S	2	bridging
529	Tetra-S	3	effective
534	Tetra-S	0	ineffective
539	Tetra-S	2	bridging
544	Tetra-S	2	bridging
549	Tetra-S	4	effective
559	Tetra-S	0	ineffective
564	Tetra-S	2	bridging
569	Tetra-S	3	effective
579	Tetra-S	3	effective
584	Tetra-S	2	bridging
589	Tetra-S	3	effective
599	Tetra-S	3	effective
604	Tetra-S	2	bridging
609	Tetra-S	3	effective
614	Tetra-S	4	effective
619	Tetra-S	0	ineffective
629	Tetra-S	3	effective
639	Tetra-S	2	bridging
644	Tetra-S	0	ineffective
654	Tetra-S	3	effective
659	Tetra-S	3	effective
664	Tetra-S	2	bridging
669	Tetra-S	2	bridging
674	Tetra-S	3	effective
679	Tetra-S	0	ineffective
684	Tetra-S	2	bridging
689	Tetra-S	0	ineffective
694	Tetra-S	3	effective
699	Tetra-S	3	effective
704	Tetra-S	4	effective
714	Tetra-S	0	ineffective
719	Tetra-S	2	bridging
724	Tetra-S	3	effective
729	Tetra-S	3	effective
734	Tetra-S	0	ineffective
739	Tetra-S	0	ineffective
744	Tetra-S	2	bridging
749	Tetra-S	0	ineffective
754	Tetra-S	3	effective
759	Tetra-S	0	ineffective
769	Tetra-S	2	bridging
774	Tetra-S	2	bridging
779	Tetra-S	2	bridging
784	Tetra-S	2	bridging
789	Tetra-S	0	ineffective
794	Tetra-S	2	bridging
799	Tetra-S	0	ineffective
804	Tetra-S	0	ineffective
809	Tetra-S	0	ineffective
814	Tetra-S	3	effective
824	Tetra-S	2	bridging
834	Tetra-S	2	bridging
839	Tetra-S	3	effective
844	Tetra-S	0	ineffective
849	Tetra-S	4	effective
854	Tetra-S	3	effective
859	Tetra-S	0	ineffective
864	Tetra-S	0	ineffective
869	Tetra-S	0	ineffective
874	Tetra-S	2	bridging
879	Tetra-S	2	bridging
884	Tetra-S	2	bridging
894	Tetra-S	0	ineffective
909	Tetra-S	3	effective
914	Tetra-S	3	effective
919	Tetra-S	2	bridging
924	Tetra-S	2	bridging
929	Tetra-S	2	bridging
934	Tetra-S	0	ineffective
939	Tetra-S	0	ineffective
949	Tetra-S	2	bridging
959	Tetra-S	2	bridging
964	Tetra-S	4	effective
969	Tetra-S	4	effective
974	Tetra-S	0	ineffective
984	Tetra-S	2	bridging
989	Tetra-S	0	ineffective
994	Tetra-S	2	bridging
999	Tetra-S	2	bridging
1004	Tetra-S	2	bridging
1009	Tetra-S	4	effective
1014	Tetra-S	0	ineffective
1019	Tetra-S	0	ineffective
1024	Tetra-S	2	bridging
